745:1148=0.5992029905319214,1223=0.5413356423377991,3429=0.38103318214416504,720=0.37090641260147095,3751=0.34382861852645874,1=0.3146859109401703,34=0.2865288257598877,1265=0.27697211503982544,608=0.27642014622688293,1136=0.27361539006233215
1554:1354=0.24381858110427856,506=0.23811474442481995,1611=0.2352341264486313,148=0.22550460696220398,307=0.21995799243450165,1535=0.21898040175437927,1094=0.21656952798366547,35=0.20908059179782867,562=0.206258624792099,2943=0.20619018375873566
3786:3556=0.224829763174057,3858=0.20733799040317535,3911=0.2048233151435852,1171=0.19776953756809235,3481=0.1893898993730545,3863=0.18709994852542877,3893=0.1859777867794037,3949=0.18409819900989532,3794=0.18376125395298004,2318=0.18207979202270508
2159:1350=0.2729635536670685,1347=0.2688346207141876,1345=0.2649397850036621,3476=0.25313258171081543,2459=0.25299856066703796,1130=0.2522203028202057,3499=0.252092182636261,1261=0.25076210498809814,3550=0.24678626656532288,1407=0.2465095967054367
3020:292=0.3844040632247925,1370=0.38427048921585083,3107=0.38016587495803833,95=0.37963226437568665,353=0.377261757850647,165=0.37034544348716736,3274=0.3671087324619293,733=0.36657360196113586,507=0.355773389339447,1597=0.35439714789390564
509:1183=0.3835439682006836,1094=0.3708450496196747,17=0.3428703844547272,2291=0.3377992808818817,265=0.332964688539505,357=0.3303806781768799,1393=0.32443442940711975,337=0.3220767080783844,3418=0.31472545862197876,105=0.3088962733745575
581:1192=0.33172789216041565,1191=0.2852659523487091,162=0.2620863616466522,1611=0.25556081533432007,1046=0.24959498643875122,556=0.2462461143732071,526=0.24038664996623993,562=0.23005177080631256,1449=0.221360445022583,1535=0.21516084671020508
3499:1407=0.428816020488739,1258=0.40610063076019287,1994=0.38090354204177856,1339=0.38078773021698,253=0.3800850510597229,1345=0.3779579699039459,1997=0.3611568510532379,1219=0.3582630455493927,1982=0.35606420040130615,1387=0.3555140197277069
3266:3019=0.22607280313968658,846=0.22543790936470032,1884=0.22537823021411896,562=0.22377526760101318,247=0.22264932096004486,1483=0.22181472182273865,3265=0.22053593397140503,1916=0.2138095200061798,1273=0.21256552636623383,3521=0.21149694919586182
728:348=0.26416853070259094,838=0.2571662366390228,994=0.2546692490577698,1641=0.2523459792137146,1449=0.25094202160835266,357=0.2420266717672348,3260=0.23588073253631592,52=0.2315010130405426,342=0.23018954694271088,515=0.22739176452159882
1653:1584=0.45658665895462036,32=0.44453924894332886,1527=0.4328950345516205,2571=0.431172251701355,2916=0.42884424328804016,1748=0.42019766569137573,1580=0.41510429978370667,1909=0.41050946712493896,1356=0.39718249440193176,589=0.39358389377593994
2323:864=0.22739452123641968,1430=0.22293896973133087,1868=0.2114984691143036,3002=0.20188553631305695,190=0.18775321543216705,215=0.17088647186756134,247=0.1700579822063446,1865=0.16636036336421967,3539=0.16281160712242126,1759=0.1621488332748413
3081:2710=0.42109355330467224,1407=0.3785754442214966,2762=0.37711596488952637,2959=0.3618279993534088,253=0.35507386922836304,2716=0.3539601266384125,2976=0.34937039017677307,2858=0.34846484661102295,1339=0.33917009830474854,2987=0.3358898460865021
896:3218=0.2648184299468994,1046=0.2590765058994293,3295=0.2585839629173279,385=0.2503255307674408,696=0.24921050667762756,2545=0.2484869509935379,1844=0.23784025013446808,149=0.23248906433582306,652=0.23129169642925262,1714=0.230878546833992
1093:2710=0.3314127027988434,223=0.32621702551841736,2706=0.3236483931541443,2683=0.3215097486972809,2712=0.31736165285110474,2959=0.3134302496910095,2395=0.30668532848358154,2987=0.30281683802604675,2858=0.30163145065307617,785=0.3004571199417114
860:643=0.42091014981269836,811=0.3526172637939453,1510=0.2662069499492645,2214=0.2662069499492645,3229=0.2662069499492645,3413=0.2662069499492645,1820=0.2662069499492645,3377=0.2662069499492645,584=0.2662069499492645,701=0.2662069499492645
1485:500=0.45077669620513916,344=0.4365735948085785,231=0.42451798915863037,3255=0.39967137575149536,586=0.39715883135795593,3253=0.3876773715019226,1777=0.3864811360836029,1923=0.38607969880104065,784=0.3851434290409088,2124=0.37796860933303833
461:1897=0.2902749478816986,506=0.22717218101024628,1811=0.2191258668899536,369=0.21608617901802063,1509=0.21552281081676483,3094=0.20827892422676086,1187=0.20702452957630157,84=0.20295913517475128,1192=0.19614067673683167,1650=0.19328005611896515
3176:2858=0.404511034488678,2762=0.39765629172325134,2959=0.370601087808609,2396=0.3691760301589966,608=0.3676050901412964,2997=0.3641076385974884,593=0.363777220249176,2599=0.35359519720077515,3160=0.34709540009498596,3408=0.34187912940979004
348:52=0.3848835527896881,1449=0.34001296758651733,2065=0.33123070001602173,2973=0.33044055104255676,235=0.3285590410232544,492=0.32124781608581543,994=0.3167458474636078,2395=0.3154716491699219,125=0.311900794506073,471=0.3080720007419586
1635:1673=0.39846986532211304,535=0.3766007423400879,562=0.36350467801094055,1594=0.3623976707458496,1719=0.3555375039577484,1885=0.3376810550689697,1834=0.3350710868835449,1095=0.3347156047821045,1354=0.3263908624649048,1041=0.3262121379375458
3163:2966=0.2661705017089844,3260=0.2579200565814972,2357=0.2545255720615387,235=0.24246807396411896,800=0.22733338177204132,3083=0.22556957602500916,272=0.22459575533866882,300=0.22447913885116577,41=0.22105346620082855,1177=0.22071541845798492
1250:1208=0.40525543689727783,1204=0.394622266292572,912=0.39256179332733154,1272=0.385437548160553,3196=0.3789876699447632,750=0.3775140941143036,1294=0.3758380711078644,908=0.3751106262207031,1262=0.3735148310661316,858=0.3699980676174164
913:1284=0.45040038228034973,1252=0.43837770819664,3334=0.4328862428665161,912=0.4040260910987854,3435=0.39151424169540405,904=0.3895752727985382,1267=0.3882235586643219,903=0.3881374001502991,923=0.38028207421302795,750=0.3758917450904846
1730:529=0.21828201413154602,1357=0.21758417785167694,535=0.21411392092704773,1810=0.21377354860305786,1960=0.21166086196899414,279=0.20809532701969147,337=0.20749875903129578,1643=0.20414495468139648,2336=0.2009083777666092,2313=0.1969182938337326
2734:1959=0.30824825167655945,3219=0.3017299771308899,2987=0.28055480122566223,3203=0.27586740255355835,2369=0.2687884271144867,2716=0.2629691958427429,1093=0.25795426964759827,2013=0.24990606307983398,2683=0.24955664575099945,2147=0.2441626489162445
3083:1041=0.2645450830459595,2357=0.2596348822116852,1354=0.25573498010635376,3067=0.25156137347221375,1635=0.24754968285560608,3129=0.2473035752773285,265=0.23182421922683716,3481=0.22856858372688293,2858=0.22722329199314117,3163=0.22556956112384796
3514:1519=0.25375962257385254,3794=0.23400717973709106,1872=0.23320014774799347,1428=0.2331981062889099,3822=0.23164977133274078,1749=0.22265568375587463,1038=0.21467839181423187,1351=0.2082357108592987,3292=0.20787706971168518,3571=0.20638908445835114
47:50=0.49609220027923584,1089=0.4865243434906006,593=0.45976710319519043,608=0.4525030851364136,296=0.4385191798210144,1625=0.42768147587776184,457=0.42426797747612,2391=0.41679802536964417,32=0.4125464856624603,2762=0.40969687700271606
2721:1046=0.3764128088951111,3914=0.3394402265548706,2607=0.28758326172828674,2626=0.2709506154060364,2029=0.2521016299724579,171=0.23457849025726318,299=0.22009959816932678,3094=0.2099997103214264,1063=0.20735065639019012,1535=0.2048206329345703
318:593=0.5461959838867188,296=0.5313848257064819,608=0.5252779126167297,527=0.5233345031738281,1704=0.4991801679134369,2028=0.4951361417770386,1213=0.49033480882644653,2858=0.4843180477619171,50=0.4739767909049988,1265=0.4538605511188507
2353:457=0.49018940329551697,733=0.48073676228523254,3256=0.47241178154945374,1370=0.47019127011299133,377=0.46433740854263306,2058=0.46090060472488403,1610=0.45197737216949463,349=0.44405218958854675,474=0.44358012080192566,1608=0.4372049570083618
714:3328=0.23806799948215485,162=0.23119482398033142,471=0.218232661485672,1151=0.21790671348571777,3521=0.21544750034809113,3019=0.20866680145263672,1916=0.20733609795570374,778=0.20617710053920746,176=0.20551709830760956,2912=0.20462392270565033
1923:1265=0.46937745809555054,1517=0.46748021245002747,3253=0.4671761691570282,1784=0.43211281299591064,2321=0.42761045694351196,2302=0.4181240499019623,1500=0.4177137613296509,356=0.4122590720653534,1777=0.410404771566391,39=0.40170037746429443
1897:461=0.2902749478816986,1719=0.23407164216041565,1635=0.22499343752861023,3046=0.22380539774894714,247=0.22100266814231873,1683=0.2116284817457199,1885=0.20182064175605774,1673=0.19671522080898285,1504=0.1942301094532013,2171=0.1910272240638733
3799:3054=0.25830042362213135,631=0.16392020881175995,2733=0.15668213367462158,3945=0.15386436879634857,107=0.14869482815265656,2354=0.1481037139892578,1474=0.1463550627231598,2048=0.14583919942378998,2477=0.14472544193267822,2090=0.13999181985855103
1089:296=0.5066360831260681,608=0.506173312664032,50=0.5056188702583313,47=0.4865243434906006,1213=0.46937280893325806,593=0.43732911348342896,1617=0.4364895820617676,1729=0.41941264271736145,2391=0.4151614010334015,293=0.41283735632896423
3100:1704=0.36868178844451904,150=0.363657146692276,3252=0.3443164527416229,25=0.3430924117565155,3105=0.34245312213897705,318=0.3391556739807129,1393=0.33869245648384094,2268=0.33827847242355347,590=0.33813732862472534,1358=0.33417925238609314
2770:2683=0.4051002264022827,785=0.3787309527397156,2706=0.36994317173957825,2395=0.36058416962623596,2599=0.34641289710998535,2355=0.3448125422000885,2716=0.34315225481987,223=0.34167176485061646,2502=0.33687254786491394,2997=0.334360808134079
2987:2716=0.48442620038986206,592=0.45268768072128296,1196=0.4446268081665039,260=0.44389304518699646,1198=0.4359823167324066,1270=0.4302612245082855,1291=0.4298049807548523,1210=0.4272386431694031,1127=0.42632633447647095,1197=0.41961556673049927
353:288=0.4246780276298523,2167=0.4154956340789795,1370=0.4087337255477905,733=0.40384912490844727,380=0.385192334651947,163=0.3831368386745453,377=0.38294628262519836,3020=0.377261757850647,70=0.3765605688095093,457=0.37529832124710083
3513:3555=0.3324311077594757,3510=0.3193356692790985,3578=0.276547908782959,3753=0.2701859474182129,3173=0.26591378450393677,3623=0.2601388990879059,3354=0.2528706192970276,3484=0.2480928599834442,3755=0.24721568822860718,3916=0.23930199444293976
2725:1354=0.23044364154338837,1635=0.2211691290140152,1657=0.2161569893360138,1872=0.21134856343269348,3008=0.2062908560037613,1187=0.20258894562721252,2611=0.19925232231616974,1916=0.19766589999198914,1719=0.19648876786231995,1120=0.19639964401721954
968:2901=0.38468503952026367,1982=0.38033759593963623,2664=0.37742891907691956,2459=0.37069520354270935,1345=0.36849546432495117,1214=0.36472004652023315,2288=0.36113235354423523,3016=0.3577933609485626,1350=0.3419410288333893,2455=0.3416891396045685
1171:471=0.3120235800743103,2289=0.29973602294921875,1449=0.29906001687049866,235=0.29087135195732117,1673=0.2804580330848694,2064=0.2773832678794861,1747=0.27418673038482666,125=0.26927074790000916,1641=0.2606719136238098,551=0.2602631151676178
1380:1088=0.41527310013771057,1028=0.39347487688064575,2080=0.3891621530056,2081=0.38133642077445984,2746=0.37694740295410156,2145=0.37664783000946045,919=0.37597766518592834,2100=0.3755735754966736,1307=0.3753548562526703,1073=0.37092316150665283
1688:783=0.4212828576564789,48=0.3876143991947174,1566=0.36087867617607117,595=0.35948076844215393,1907=0.3586982786655426,364=0.3487522602081299,1022=0.33602410554885864,2687=0.33316904306411743,2096=0.3172532021999359,588=0.3162306547164917
3604:938=0.2875315546989441,2565=0.28598344326019287,3549=0.2817841172218323,2941=0.26845064759254456,1947=0.2490028440952301,900=0.24887290596961975,3606=0.24437087774276733,3675=0.24204961955547333,3605=0.2399689108133316,3061=0.22894276678562164
1441:1777=0.3598065972328186,539=0.354973167181015,357=0.3480606973171234,339=0.3437446355819702,597=0.3410719335079193,224=0.32822567224502563,39=0.328192800283432,440=0.32804614305496216,3108=0.32501912117004395,141=0.3237283527851105
17:838=0.38883543014526367,265=0.3585684299468994,1183=0.3580167293548584,357=0.3521258234977722,2396=0.34993404150009155,3260=0.3467092216014862,509=0.3428703844547272,1393=0.3403429090976715,1094=0.34007909893989563,34=0.33324727416038513
2081:588=0.4820690155029297,2080=0.4775756597518921,595=0.474634051322937,1022=0.4543319344520569,1028=0.44398272037506104,364=0.4407294690608978,2096=0.4287051260471344,2100=0.4258403480052948,1029=0.4235987663269043,2078=0.41912928223609924
3624:3555=0.32922178506851196,3793=0.32660073041915894,3623=0.322005957365036,3578=0.3135499656200409,3481=0.30408212542533875,3753=0.29086965322494507,1580=0.2863994240760803,112=0.28201693296432495,648=0.2787911891937256,3751=0.2781493365764618
368:1918=0.4190959632396698,380=0.4171527028083801,2002=0.4163452386856079,292=0.4001215696334839,2012=0.39992204308509827,733=0.3974969983100891,1722=0.3933934271335602,1370=0.39332348108291626,1608=0.39014896750450134,1377=0.38671600818634033
3524:1135=0.4260901212692261,2469=0.42433562874794006,2470=0.37697985768318176,2100=0.3759050667285919,3591=0.37589097023010254,2245=0.3758355677127838,2915=0.37334007024765015,2518=0.3673684298992157,2134=0.36586055159568787,3039=0.3601579964160919
3685:2243=0.38258659839630127,2352=0.35634881258010864,2130=0.3499479293823242,2915=0.34616994857788086,2065=0.34535419940948486,3684=0.34058600664138794,1958=0.3332580327987671,1307=0.322526216506958,1674=0.31856462359428406,3361=0.31245774030685425
1101:2115=0.4602287709712982,2406=0.44840070605278015,592=0.44024544954299927,1291=0.4139115512371063,2000=0.41342800855636597,1036=0.4127136468887329,377=0.4066409766674042,1954=0.39988017082214355,1610=0.39710110425949097,2194=0.3925488591194153
2406:2405=0.508295476436615,2115=0.4861845076084137,592=0.48587924242019653,2000=0.48053985834121704,2100=0.48007914423942566,1291=0.46707576513290405,2470=0.462902307510376,1198=0.4537680745124817,1220=0.4514734745025635,1101=0.44840067625045776
588:595=0.524915337562561,364=0.5098139643669128,2081=0.4820690155029297,1=0.47834673523902893,2355=0.41005221009254456,1028=0.39870262145996094,2080=0.3985196650028229,1265=0.39806273579597473,1022=0.39107999205589294,1282=0.3910744786262512
3610:3602=0.6018893122673035,3600=0.40426963567733765,3605=0.40118885040283203,3542=0.24987800419330597,311=0.2095290869474411,572=0.20546016097068787,3604=0.19516345858573914,3141=0.18845070898532867,3501=0.18156185746192932,2523=0.1754263937473297
2802:3441=0.32787516713142395,2989=0.31912580132484436,2146=0.3164651691913605,2403=0.3120713531970978,1101=0.3115040361881256,2406=0.3110063970088959,2476=0.3066985011100769,2410=0.30131229758262634,2001=0.2980160117149353,3197=0.2962040901184082
2506:1888=0.2999248504638672,2485=0.23413348197937012,1569=0.2322985827922821,1777=0.22951999306678772,2671=0.22875481843948364,2424=0.22851651906967163,2125=0.2242729216814041,539=0.22039641439914703,597=0.21858461201190948,339=0.21250812709331512
1296:2020=0.3734350800514221,1674=0.3340258300304413,2919=0.3315441310405731,1244=0.3278270661830902,17=0.3226959705352783,1247=0.3175175189971924,1185=0.31494805216789246,1096=0.3144150674343109,1225=0.3110193908214569,1186=0.3099668323993683
2966:3006=0.2726534605026245,3163=0.2661705017089844,1635=0.2657276391983032,1719=0.25645217299461365,608=0.2488364279270172,1633=0.2461651861667633,36=0.24515888094902039,337=0.24323390424251556,3481=0.243064284324646,3317=0.2415478229522705
364:595=0.5330958366394043,588=0.5098139643669128,2081=0.4407294690608978,783=0.43195125460624695,1=0.4294578731060028,1907=0.4269973635673523,1022=0.4235701858997345,2294=0.4155348837375641,594=0.41327953338623047,2087=0.3992367088794708
2469:3524=0.42433562874794006,2145=0.42126572132110596,1135=0.37861916422843933,2406=0.37496575713157654,2245=0.3712315261363983,1380=0.36369788646698,2100=0.35285642743110657,3591=0.35084936022758484,3526=0.34720084071159363,2134=0.34578749537467957
266:590=0.31423473358154297,1393=0.313229501247406,110=0.3088234066963196,356=0.30430078506469727,539=0.29855772852897644,1408=0.2936900854110718,587=0.288339763879776,2268=0.284614622592926,1183=0.2841326594352722,597=0.28189048171043396
912:923=0.45623287558555603,919=0.4392682611942291,920=0.4345239996910095,1247=0.43260782957077026,969=0.4310932159423828,908=0.4271097779273987,750=0.4226924777030945,858=0.4138440787792206,904=0.4120268225669861,913=0.4040260910987854
1569:597=0.48002737760543823,339=0.46048080921173096,539=0.4563803970813751,2424=0.45433172583580017,2671=0.4274457097053528,357=0.41374486684799194,11=0.4110255837440491,1777=0.40764209628105164,587=0.39380961656570435,7=0.38243815302848816
3072:1307=0.39313098788261414,3361=0.38635969161987305,2352=0.3845747411251068,1079=0.38156014680862427,2915=0.38135337829589844,1394=0.37056758999824524,2243=0.35390523076057434,1958=0.3514783978462219,2100=0.34715327620506287,1270=0.3397824466228485
3565:3534=0.29109513759613037,3512=0.251049280166626,3409=0.22566036880016327,3594=0.22273452579975128,3484=0.21924839913845062,3408=0.2170005738735199,3325=0.2138541340827942,3453=0.21073776483535767,3536=0.207921102643013,2581=0.2007133960723877
2017:1022=0.29507118463516235,2087=0.28910958766937256,1031=0.2812938392162323,2043=0.27155810594558716,1032=0.2624908983707428,1029=0.26111453771591187,1030=0.2562577724456787,2015=0.25233474373817444,1025=0.2483348250389099,2141=0.24428917467594147
3508:2921=0.5010377764701843,2401=0.436487078666687,3681=0.4205106794834137,2922=0.38533836603164673,3682=0.381468266248703,2951=0.36882904171943665,1266=0.3656637370586395,1201=0.36530017852783203,3074=0.36423492431640625,3494=0.3490000367164612
2082:2042=0.47193387150764465,2953=0.39293888211250305,586=0.36307293176651,1359=0.3555926978588104,1021=0.35144302248954773,1588=0.3369534909725189,1005=0.33192044496536255,355=0.3278985619544983,3247=0.31504806876182556,1485=0.31227725744247437
838:17=0.38883545994758606,357=0.37237417697906494,39=0.3409736752510071,2671=0.3400138020515442,708=0.32186052203178406,497=0.3196629285812378,1569=0.3194364905357361,339=0.3178887367248535,597=0.31476065516471863,539=0.3133666217327118
3753:3578=0.43817138671875,3623=0.382754385471344,3755=0.3697681128978729,110=0.3624953329563141,3555=0.3550909161567688,2028=0.3482765257358551,3793=0.33652451634407043,648=0.335195928812027,3510=0.323519229888916,480=0.32014212012290955
3682:2921=0.3904244303703308,3508=0.381468266248703,3681=0.35480058193206787,2922=0.3472811281681061,3494=0.32508397102355957,2401=0.31086528301239014,2944=0.2925843298435211,2951=0.28809982538223267,3074=0.2858671247959137,1201=0.2816337049007416
1566:783=0.4576943814754486,1907=0.4234907925128937,48=0.406620055437088,364=0.3911115527153015,2687=0.38940998911857605,595=0.3850370943546295,588=0.36572012305259705,1688=0.36087867617607117,2096=0.35759660601615906,1022=0.347804456949234
1959:2734=0.30824825167655945,2013=0.2976835370063782,1958=0.29567718505859375,2070=0.29362282156944275,2396=0.29222816228866577,2369=0.28073012828826904,2942=0.27824345231056213,2987=0.27358099818229675,1674=0.2711556553840637,2352=0.26966068148612976
3501:2518=0.3118312656879425,1135=0.2868347465991974,2463=0.2866532802581787,3524=0.28452974557876587,2469=0.28266817331314087,2245=0.2803371250629425,1081=0.28020375967025757,2407=0.2745315432548523,3244=0.26550087332725525,3591=0.2635999023914337
377:457=0.5189679861068726,733=0.5014604926109314,1370=0.4924422800540924,1610=0.4923440217971802,380=0.477592408657074,3256=0.4775899350643158,2571=0.47182410955429077,1608=0.47045281529426575,1573=0.4673593044281006,1036=0.46453070640563965
1806:2953=0.27136504650115967,374=0.2704070210456848,1588=0.26069390773773193,1474=0.25229644775390625,1592=0.24608637392520905,2052=0.24457703530788422,1460=0.24148622155189514,2053=0.22041097283363342,455=0.2198622077703476,239=0.2178507149219513
597:539=0.5167030692100525,1569=0.48002737760543823,587=0.4779083728790283,2424=0.46791788935661316,2671=0.46119314432144165,339=0.458370178937912,356=0.4466859698295593,357=0.43625134229660034,1393=0.4359438717365265,11=0.4319009482860565
1007:2016=0.37203481793403625,1010=0.31233328580856323,1016=0.31217798590660095,2095=0.30096757411956787,2040=0.2836662232875824,2055=0.2738479673862457,1031=0.26676031947135925,368=0.26560187339782715,616=0.2618080675601959,1009=0.26156651973724365
1030:1031=0.3924054503440857,1032=0.3843136131763458,2096=0.38357487320899963,2090=0.379794180393219,2087=0.36224597692489624,2088=0.35884034633636475,1029=0.35827165842056274,1022=0.3498798608779907,1028=0.34177839756011963,3034=0.33884379267692566
589:2571=0.597810685634613,1240=0.5692777037620544,2916=0.5660471320152283,480=0.5592531561851501,1580=0.5562688112258911,1196=0.5387024879455566,457=0.5356354713439941,260=0.5295886993408203,1200=0.5158430933952332,1210=0.5151780247688293
3793:3578=0.43180984258651733,2571=0.42680397629737854,3623=0.39238062500953674,1580=0.3878888785839081,589=0.38784781098365784,1196=0.386716365814209,480=0.38582831621170044,260=0.38038843870162964,1210=0.3800089657306671,2916=0.37833303213119507
1997:1345=0.4727460741996765,1258=0.4565364420413971,1350=0.44684141874313354,1982=0.4310210645198822,1387=0.4120652377605438,1219=0.4096496105194092,1994=0.40310361981391907,1214=0.3957349956035614,1347=0.38936513662338257,1333=0.3862524926662445
3256:349=0.559018075466156,1610=0.5082370638847351,1370=0.49677547812461853,457=0.49479198455810547,733=0.4923913776874542,377=0.4775899350643158,2353=0.47241178154945374,1608=0.46890363097190857,2916=0.4537762701511383,474=0.4522816240787506
1221:858=0.6177787780761719,1196=0.446572482585907,608=0.44596922397613525,260=0.4449538588523865,111=0.4352431297302246,1387=0.43087711930274963,1214=0.42649605870246887,1953=0.42574450373649597,1240=0.4248366355895996,1213=0.42424315214157104
111:1228=0.44009050726890564,1221=0.4352431297302246,858=0.4311835765838623,1208=0.43009617924690247,608=0.4216969609260559,923=0.4201928377151489,1193=0.4150181710720062,296=0.40902674198150635,1219=0.4029460847377777,1252=0.40044012665748596
1660:1635=0.2480919510126114,1810=0.24049575626850128,509=0.23901402950286865,337=0.23564095795154572,1633=0.23339109122753143,1271=0.23323781788349152,2276=0.23261943459510803,535=0.23215588927268982,194=0.22915296256542206,994=0.22627028822898865
2336:2396=0.3719208836555481,2858=0.34478387236595154,3176=0.33462825417518616,2333=0.33368349075317383,1704=0.3263400197029114,2762=0.317531555891037,2686=0.3124687373638153,2599=0.31116580963134766,296=0.3106340169906616,608=0.3104666769504547
3259:1393=0.3527827262878418,597=0.33700668811798096,2424=0.32569730281829834,587=0.321964293718338,361=0.3194005489349365,539=0.3177597224712372,11=0.3144460618495941,802=0.31440332531929016,7=0.3034696877002716,1721=0.3014613389968872
1916:1885=0.30265915393829346,562=0.2950192391872406,1635=0.28438428044319153,1673=0.2824588119983673,1648=0.2776329219341278,778=0.27568870782852173,337=0.26767292618751526,247=0.2632414996623993,1449=0.26299476623535156,2395=0.25978928804397583
1810:1120=0.3304993212223053,1682=0.3265536427497864,508=0.3194366991519928,1672=0.31812819838523865,1747=0.31660401821136475,1704=0.3155709505081177,2268=0.3147633969783783,1393=0.31366485357284546,62=0.31036654114723206,1271=0.30803361535072327
1735:1393=0.28066617250442505,1680=0.2786101698875427,1059=0.27290794253349304,1498=0.2609802484512329,2558=0.2504931390285492,1888=0.24799777567386627,1639=0.24294155836105347,1835=0.24237358570098877,1541=0.23869258165359497,1593=0.2377280443906784
2297:1682=0.3118482530117035,1835=0.30552351474761963,539=0.28454238176345825,1088=0.27798229455947876,802=0.27361494302749634,2424=0.27220505475997925,1027=0.271589994430542,2291=0.2706400156021118,361=0.2698850929737091,2822=0.2684828042984009
1411:1704=0.2678275406360626,300=0.26174139976501465,3723=0.25047245621681213,778=0.25043973326683044,1682=0.2497299313545227,296=0.24958817660808563,529=0.24786856770515442,318=0.24411481618881226,2291=0.24302418529987335,593=0.24231328070163727
510:1621=0.20703645050525665,404=0.19367338716983795,3458=0.1905001997947693,193=0.19024188816547394,706=0.18481233716011047,2269=0.18358974158763885,391=0.18146654963493347,470=0.17802470922470093,617=0.1748025268316269,31=0.1743474155664444
393:44=0.31717970967292786,1599=0.278433233499527,546=0.2674265205860138,173=0.2527778446674347,2412=0.2322690635919571,420=0.22553202509880066,2643=0.2233433723449707,1479=0.21488714218139648,9=0.2134537398815155,1681=0.21275417506694794
1678:3260=0.34376001358032227,1271=0.31827017664909363,265=0.29542627930641174,1704=0.29457828402519226,508=0.29049739241600037,3418=0.28497305512428284,2268=0.2849515676498413,3100=0.2849443554878235,509=0.2848621606826782,337=0.28383463621139526
3006:296=0.3797883689403534,608=0.3776850402355194,1704=0.36654630303382874,1213=0.36327067017555237,318=0.35670262575149536,593=0.3460485339164734,2997=0.33948105573654175,1617=0.3388647735118866,2890=0.338591605424881,2858=0.33540818095207214
3250:2268=0.2934868335723877,3386=0.27587461471557617,1682=0.27156803011894226,318=0.25882312655448914,1393=0.25797298550605774,1120=0.2563486397266388,1784=0.2560368478298187,805=0.2530277669429779,3105=0.2529851198196411,1268=0.2523682117462158
2023:1221=0.3977231979370117,858=0.3598554730415344,6=0.33753517270088196,377=0.3230958878993988,1213=0.31379178166389465,1370=0.3075365126132965,1552=0.30401313304901123,3107=0.30304619669914246,296=0.29949572682380676,1377=0.29822635650634766
1701:52=0.3543183505535126,2395=0.2975144386291504,348=0.29534292221069336,851=0.28268691897392273,492=0.2767384648323059,1449=0.2749122083187103,125=0.2736818194389343,1732=0.27085086703300476,372=0.2693854868412018,1245=0.267385333776474
1621:4=0.2991581857204437,27=0.22430694103240967,118=0.2190708965063095,1363=0.217520073056221,3045=0.2075367122888565,510=0.20703645050525665,2432=0.2045755684375763,450=0.20160575211048126,46=0.19904541969299316,1601=0.1966816633939743
476:1470=0.2879263162612915,734=0.25953325629234314,2955=0.24554438889026642,1886=0.23052553832530975,847=0.2176518440246582,567=0.20387722551822662,672=0.2035946398973465,3641=0.18585562705993652,3352=0.1796768754720688,870=0.17526006698608398
3528:105=0.35403457283973694,539=0.3155054748058319,2146=0.3077339231967926,597=0.3044699430465698,11=0.29833289980888367,509=0.29276061058044434,3257=0.2911086678504944,1353=0.28448694944381714,802=0.280598521232605,357=0.2804998457431793
465:1531=0.21633727848529816,1715=0.2041042447090149,210=0.18664979934692383,2945=0.185259610414505,1120=0.18386152386665344,1442=0.18298828601837158,650=0.17908066511154175,3848=0.17506568133831024,451=0.17344196140766144,1483=0.17269597947597504
3155:2125=0.22852538526058197,2336=0.2223241925239563,597=0.21989819407463074,7=0.21196098625659943,539=0.21010376513004303,587=0.20910774171352386,2424=0.202381432056427,1801=0.20174936950206757,1569=0.19955533742904663,2858=0.196561798453331
3265:1218=0.4244314134120941,112=0.26574575901031494,1912=0.261668860912323,3267=0.25441882014274597,2278=0.2507292926311493,555=0.24871084094047546,1748=0.24713589251041412,1769=0.24544018507003784,1089=0.24424834549427032,1274=0.24242138862609863
3481:2858=0.4078230857849121,3160=0.4063929617404938,3897=0.3994187116622925,2997=0.38354039192199707,296=0.3650132715702057,2599=0.3630830943584442,1673=0.36123543977737427,3911=0.36021479964256287,1265=0.3601697087287903,1259=0.3574850261211395
1277:1183=0.24984408915042877,1674=0.23658892512321472,2020=0.22953809797763824,17=0.2267863005399704,497=0.21891404688358307,58=0.21661989390850067,1296=0.21659226715564728,3108=0.2151375114917755,1225=0.20780286192893982,446=0.20667408406734467
2541:2706=0.37132444977760315,2694=0.3576122224330902,2683=0.34750014543533325,2580=0.3242754638195038,2572=0.31853681802749634,2605=0.31742873787879944,2712=0.30843424797058105,2959=0.29857659339904785,2710=0.2973538041114807,2581=0.2908216416835785
2712:2959=0.3560107946395874,2710=0.35228192806243896,2858=0.3491377830505371,3160=0.34387969970703125,2997=0.33786386251449585,2762=0.3350844085216522,2580=0.32404857873916626,2599=0.31997594237327576,2706=0.31911975145339966,3081=0.31747308373451233
3425:3426=0.29834967851638794,369=0.23148871958255768,2929=0.2219855636358261,3374=0.21631914377212524,1187=0.21359923481941223,1840=0.2108793556690216,507=0.20970988273620605,3246=0.20570796728134155,3423=0.20232458412647247,640=0.20191238820552826
151:161=0.3259786367416382,1408=0.3132445216178894,590=0.3043005168437958,1183=0.29745814204216003,2890=0.2914614975452423,1094=0.29118984937667847,3448=0.29014891386032104,2006=0.28675082325935364,356=0.28326013684272766,1393=0.28292685747146606
